,nom_directors,ID_directors,STARmeter_directors,recompenses_directors,carriere_duree_directors,films_series_directors
291,JeanAchache,nm0009753,539853.0,0.0,35.0,4.0
292,LaurentAchard,nm0009765,750003.0,1.0,25.0,11.0
293,ShaneAcker,nm0009942,37457.0,0.0,10.0,5.0
294,AndrewAdamson,nm0011470,24303.0,0.0,29.0,13.0
295,MarenAde,nm0011752,23085.0,5.0,18.0,4.0
296,GabrielAghion,nm0013041,272490.0,1.0,37.0,19.0
297,ArantxaAguirre,nm0013676,656608.0,0.0,20.0,8.0
298,ShuAiello,nm0014520,1434503.0,0.0,24.0,5.0
299,KarimAinouz,nm0014694,28486.0,1.0,20.0,23.0
300,AlexandreAja,nm0014960,15204.0,0.0,41.0,27.0
301,ZoyaAkhtar,nm0015295,26636.0,0.0,22.0,9.0
302,FatihAkin,nm0015359,10964.0,5.0,21.0,28.0
303,BarmakAkram,nm0015533,848980.0,0.0,4.0,2.0
304,BarbaraAlbert,nm0016475,210992.0,0.0,23.0,11.0
305,KarinAlbou,nm0016900,508364.0,5.0,20.0,6.0
306,LisaAzuelos,nm0018132,71569.0,1.0,26.0,12.0
307,PatrickAlessandrin,nm0018133,292941.0,0.0,26.0,6.0
308,DanielAlfredson,nm0019242,79436.0,0.0,19.0,12.0
309,TomasAlfredson,nm0019247,16170.0,3.0,25.0,22.0
310,DanielAlgrant,nm0019341,154089.0,0.0,27.0,8.0
311,ChristopheAli,nm0019414,11334689.0,0.0,14.0,3.0
312,AbdollahAlimorad,nm0019638,11140708.0,0.0,21.0,6.0
313,ElizabethAllenRosenbaum,nm0020491,61413.0,0.0,15.0,29.0
314,RogerAllers,nm0021249,65619.0,0.0,27.0,10.0
315,MerzakAllouache,nm0021577,187628.0,2.0,45.0,26.0
316,MichaelAlmereyda,nm0021899,42915.0,1.0,35.0,21.0
317,DavidAlonso,nm0022163,1695882.0,0.0,0.0,5.0
318,KentAlterman,nm0022768,117702.0,0.0,9.0,0.0
319,ChristianAlvart,nm0023355,26948.0,0.0,22.0,24.0
320,RubenAlves,nm0023517,90056.0,1.0,22.0,16.0
321,ChristopheAleveque,nm0023703,1276214.0,0.0,23.0,13.0
322,MathieuAmalric,nm0023832,14638.0,10.0,39.0,148.0
323,JorgeAmat,nm0024104,2113419.0,0.0,45.0,14.0
324,MassimilianoAmato,nm0024173,964219.0,0.0,3.0,2.0
325,MarcoAmenta,nm0024617,307282.0,0.0,26.0,5.0
326,AlejandroAmenabar,nm0024622,9826.0,3.0,30.0,13.0
327,HosseinAmini,nm0024925,34253.0,0.0,23.0,0.0
328,SylvestreAmoussou,nm0025340,1451744.0,1.0,21.0,8.0
329,SimonAmstell,nm0025435,49297.0,0.0,5.0,4.0
330,Jean-PierreAmeris,nm0025534,117809.0,4.0,27.0,19.0
331,BradAnderson,nm0026442,13519.0,2.0,28.0,56.0
332,PaulW.S.Anderson,nm0027271,5448.0,0.0,27.0,25.0
333,StephenJ.Anderson,nm0027459,37706.0,0.0,10.0,2.0
334,WesAnderson,nm0027572,551.0,7.0,27.0,29.0
335,RoyAndersson,nm0027815,17667.0,3.0,52.0,13.0
336,MasashiAndo,nm0027943,346212.0,0.0,20.0,2.0
337,RobertoAndo,nm0027948,182176.0,0.0,21.0,12.0
338,MarkAndrews,nm0028764,50893.0,3.0,8.0,3.0
340,Jean-JacquesAndrien,nm0028981,5277072.0,0.0,39.0,5.0
341,MichelAndrieu,nm0028998,370670.0,0.0,52.0,8.0
342,AndreTechine,nm0029242,36670.0,6.0,56.0,36.0
343,FredericAndrei,nm0029268,40359.0,0.0,38.0,11.0
344,HeleneAngel,nm0029458,893439.0,0.0,30.0,12.0
345,CedricAnger,nm0029762,391569.0,0.0,21.0,6.0
346,GrahamAnnable,nm0030253,176934.0,0.0,5.0,0.0
347,HideakiAnno,nm0030417,18327.0,0.0,33.0,17.0
348,SolveigAnspach,nm0030681,365721.0,2.0,26.0,25.0
349,NimrodAntal,nm0030735,19002.0,0.0,18.0,11.0
350,ShinjiAoyama,nm0031888,122243.0,0.0,21.0,28.0
351,JuddApatow,nm0031976,3433.0,0.0,31.0,30.0
352,RameshAravind,nm0033243,145814.0,0.0,16.0,7.0
353,DanielleArbid,nm0033384,116528.0,0.0,23.0,15.0
354,LouiseArchambault,nm0033596,74436.0,0.0,0.0,7.0
355,NielsArestrup,nm0034390,35531.0,3.0,47.0,76.0
356,FrancoisArmanet,nm0035305,7569794.0,0.0,0.0,2.0
357,MontxoArmendariz,nm0035404,251835.0,0.0,28.0,11.0
358,ScotArmstrong,nm0035905,83599.0,0.0,21.0,4.0
359,PascalArnold,nm0036331,147527.0,0.0,23.0,8.0
360,AndreaArnold,nm0036349,10410.0,7.0,27.0,12.0
361,GuillermoArriaga,nm0037247,37268.0,1.0,20.0,9.0
362,ThomasArslan,nm0037575,67054.0,0.0,20.0,12.0
363,MiguelArteta,nm0037708,31181.0,0.0,24.0,39.0
364,YannArthus-Bertrand,nm0037867,82811.0,0.0,55.0,17.0
365,KevinAsch,nm0038475,957939.0,1.0,3.0,2.0
366,ArniOlafurAsgeirsson,nm0038604,134817.0,0.0,10.0,4.0
367,RodneyAscher,nm0038896,82627.0,0.0,2.0,5.0
368,YvanAttal,nm0040939,28365.0,3.0,39.0,78.0
369,PhilipG.Atwell,nm0041161,127276.0,0.0,2.0,4.0
370,StephaneAubier,nm0041334,157820.0,6.0,32.0,27.0
371,VeroniqueAubouy,nm0041370,1162451.0,0.0,23.0,4.0
372,FredericAuburtin,nm0041474,223886.0,0.0,31.0,10.0
373,SylvieAudcoeur,nm0041527,423417.0,0.0,30.0,34.0
374,SophieAudier,nm0041576,1974344.0,0.0,19.0,2.0
375,DieterAuner,nm0042120,1299060.0,0.0,0.0,2.0
376,SergeAvedikian,nm0042848,295795.0,1.0,42.0,64.0
377,MichalAviad,nm0043109,363018.0,0.0,0.0,3.0
378,YossiAviram,nm0043211,258750.0,0.0,0.0,2.0
379,NurithAviv,nm0043232,416118.0,0.0,54.0,12.0
380,KaderAyd,nm0043705,560088.0,0.0,14.0,3.0
381,DavidAyer,nm0043742,1840.0,0.0,23.0,19.0
382,SylvieAyme,nm0043909,191788.0,0.0,26.0,20.0
383,NabilAyouch,nm0043953,77269.0,6.0,32.0,13.0
384,OlivierAzam,nm0044096,13094056.0,0.0,13.0,7.0
385,MyriamAziza,nm0044310,907031.0,0.0,26.0,9.0
386,DominicBachy,nm0045574,7738637.0,0.0,0.0,6.0
387,EdouardBaer,nm0046347,44765.0,2.0,30.0,75.0
388,MartinBaer,nm0046366,12297532.0,1.0,0.0,4.0
389,LaurentBaffie,nm0046494,323994.0,1.0,27.0,9.0
390,JenniferBaichwal,nm0047028,166242.0,0.0,13.0,8.0
391,LionelBaier,nm0047049,221585.0,0.0,21.0,11.0
392,ChrisBailey,nm0047193,193069.0,0.0,24.0,10.0
394,FentonBailey,nm0047259,97014.0,0.0,18.0,12.0
395,LucyBailey,nm0047384,1127933.0,0.0,9.0,2.0
396,PascaleBailly,nm0047645,646093.0,0.0,36.0,8.0
397,VladislavBayramgulov,nm0047844,1476216.0,0.0,0.0,0.0
398,Leandre-AlainBaker,nm0048718,3671013.0,0.0,0.0,2.0
399,SeanBaker,nm0048918,7284.0,2.0,24.0,11.0
400,VincentBal,nm0049294,252450.0,0.0,22.0,8.0
401,JaumeBalaguero,nm0049371,30366.0,11.0,22.0,16.0
402,CarlesBalague,nm0049372,691341.0,0.0,22.0,9.0
403,KyleBalda,nm0049633,64340.0,0.0,13.0,7.0
404,ThomasBalmes,nm0050988,234385.0,0.0,24.0,9.0
405,NicBalthazar,nm0051206,270168.0,0.0,0.0,5.0
406,JeremyBanster,nm0052508,98515.0,0.0,27.0,22.0
407,SharonBar-Ziv,nm0052755,383383.0,0.0,0.0,3.0
408,PhilipBarantini,nm0053028,8328.0,0.0,22.0,14.0
409,PhilippeBarassat,nm0053059,302794.0,0.0,27.0,13.0
410,RandyBarbato,nm0053190,198536.0,0.0,18.0,12.0
411,EricBarbier,nm0053613,167780.0,0.0,37.0,10.0
