,nom,ID,STARmeter,recompenses,carriere_duree,films_series
264,PatrickStewart,nm0001772,2081.0,1.0,49.0,76.0
265,NicholasTse,nm0874866,31053.0,0.0,23.0,34.0
266,VincentGallo,nm0001252,3664.0,1.0,43.0,46.0
267,AngelaGeorghiu,,,0.0,0.0,0.0
268,DanielRadcliffe,nm0705356,427.0,0.0,24.0,47.0
269,AurelienRecoing,nm0714534,77755.0,0.0,34.0,103.0
270,JasonBiggs,nm0004755,4890.0,0.0,33.0,50.0
271,HaleyJoelOsment,nm0005286,1111.0,0.0,30.0,59.0
272,MarkWahlberg,nm0000242,202.0,0.0,32.0,81.0
273,Latifa,nm1085883,1921339.0,0.0,0.0,0.0
274,SamNeill,nm0000554,1424.0,0.0,49.0,124.0
275,JeffGoldblum,nm0000156,622.0,0.0,50.0,108.0
276,BernadetteLafont,nm0480942,25528.0,3.0,56.0,183.0
277,SigourneyWeaver,nm0000244,780.0,3.0,44.0,92.0
278,HeathLedger,nm0005132,922.0,8.0,20.0,22.0
279,PaulHogan,nm0001357,1870.0,1.0,32.0,12.0
280,LisaLindgren,nm0511841,48051.0,0.0,0.0,5.0
281,MorganFreeman,nm0000151,733.0,6.0,59.0,142.0
282,AshtonKutcher,nm0005110,1924.0,2.0,23.0,40.0
283,AntonioBanderas,nm0000104,1129.0,3.0,41.0,119.0
284,VirginieLedoyen,nm0001461,4729.0,0.0,37.0,71.0
285,ChauBelleDinh,nm0068788,561797.0,0.0,16.0,6.0
286,Jean-MarcMineo,,,0.0,23.0,16.0
287,ThierryLhermitte,nm0508293,37008.0,4.0,50.0,157.0
288,JudeLaw,nm0000179,921.0,2.0,32.0,73.0
289,AnaisReboux,nm0714378,41140.0,0.0,0.0,0.0
290,HenryThomas,nm0001794,1753.0,0.0,42.0,68.0
291,ChristinaRicci,nm0000207,613.0,0.0,31.0,70.0
292,StephnieWeir,nm0918633,14002.0,0.0,20.0,27.0
293,AndrewGarfield,nm1940449,866.0,1.0,18.0,37.0
294,EricTabarly,,,0.0,0.0,0.0
295,YuzoKayama,nm0443232,103696.0,0.0,55.0,12.0
296,RobinSoans,,,0.0,43.0,15.0
297,MarkRylance,nm0753314,2708.0,2.0,38.0,29.0
298,StevenSeagal,nm0000219,1683.0,0.0,29.0,76.0
299,VitusZeplichal,,,0.0,39.0,15.0
300,JeanReno,nm0000606,1512.0,1.0,46.0,107.0
301,JohnNoble,nm0633604,3244.0,1.0,31.0,47.0
302,GerardJugnot,nm0432040,39970.0,1.0,51.0,128.0
303,LewisMcKenzie,nm0571565,178005.0,0.0,1.0,2.0
304,SaoirseRonan,nm1519680,358.0,1.0,17.0,33.0
305,WoodyAllen,nm0000095,1268.0,23.0,64.0,94.0
306,GaelGarciaBernal,nm0305558,3857.0,3.0,27.0,76.0
307,RalphCarlsson,nm0138120,90000.0,0.0,37.0,15.0
308,BokeemWoodbine,nm0940158,779.0,0.0,30.0,86.0
309,JeremyNortham,nm0000562,5811.0,0.0,30.0,41.0
310,HalleBerry,nm0000932,1181.0,4.0,32.0,68.0
311,HelenMirren,nm0000545,605.0,20.0,54.0,116.0
