ID;annee;titre;premiere_semaine;budget
10792;2009;Ne te retourne pas;91627;12538800
944;2005;Manderlay;18691;12607004,16
72;2006;Golden door;90015;12636000
338;2006;Hors de prix;527454;12636000
18739;2019;Minuscule: Les Mandibules du Bout du Monde;257867;12636000
330;2006;Ne le dis à personne;858599;12640930,2
2076;2001;Le Fabuleux destin d'Amélie Poulain;1185945;12646800
1072;2004;Comme une image;590485;12672360,36
12090;2011;On ne choisit pas sa famille;229167;12674630,52
2141;2001;Le Vélo de Ghislain Lambert;302661;12690000
19700;2019;Le Meilleur reste à venir;316885;12694349,16
19630;2019;Donne-moi des ailes;313479;12735350,28
18864;2019;Hors normes;618775;12743669,52
15279;2015;Carol;167192;11800000
18030;2018;Todos lo saben (Everybody Knows);391207;12744000
13176;2013;Les Profs;1037269;12748162,32
21548;2022;Adieu Monsieur Haffmann;261930;12754800
2095;2001;Les Rois mages;645948;12765600
19200;2019;Ibiza;300924;12769160,76
12888;2012;Le Guetteur;122224;12811154,4
13434;2013;Two Mothers (Adore);111058;12861475,92
1441;2003;Mauvais esprit;489107;12938400
750;2005;Il ne faut jurer de rien;425020;12956769,72
127;2007;Live Free or Die Hard;1011566;110000000
161;2007;The Bourne Ultimatum;584326;110000000
614;2006;The Good Shepherd;165113;110000000
708;2005;Mr. and Mrs. Smith;1132991;110000000
1054;2004;Ocean's Twelve;1202262;110000000
1098;2004;Home on the Range;222382;110000000
1111;2004;Around the World in 80 Days;230924;110000000
1410;2003;X2: X-Men United;1348391;110000000
10740;2010;Salt;672870;110000000
11042;2010;The A-Team;469720;110000000
11447;2011;The Smurfs;866439;110000000
13006;2014;300: Rise of an Empire;767436;110000000
13523;2013;Ender's Game;237725;110000000
14196;2015;The Divergent Series: Insurgent;1172398;110000000
14197;2016;The Divergent Series: Allegiant;787050;110000000
14198;2015;San Andreas;471962;110000000
15649;2016;Deepwater Horizon;174284;110000000
15653;2016;Passengers (2016);586756;110000000
15820;2017;Ghost In The Shell (2017);472608;110000000
15836;2016;Miss Peregrine's Home For Peculiar Children;754984;110000000
17036;2018;Deadpool 2;1186493;110000000
18818;2019;Men in Black: International;336892;110000000
20862;2021;Venom - Let There Be Carnage;676090;110000000
17344;2017;Ferdinand;455707;111000000
1069;2004;The Aviator;640883;112000000
11261;2010;Gulliver's Travels;303203;112000000
701;2005;Revenge of the Sith;3303005;113000000
2086;2001;Monsters, Inc.;777943;115000000
12010;2012;The Phantom Menace (in 3D);296406;115000000
15541;2016;The Huntsman Winter's War;391290;115000000
11067;2010;Knight & Day;664322;117000000
794;2005;xXx: State of the Union;207910;118000000
138;2007;Hot Fuzz;101302;12000000
382;2006;Saw III;398998;12000000
453;2006;Step Up;104625;12000000
478;2006;Crank;127061;12000000
609;2006;Aquamarine;343;12000000
681;2006;For Your Consideration;616;12000000
896;2005;The Upside of Anger;55096;12000000
1136;2004;Shi mian mai fu (House of Flying Daggers);219629;12000000
1139;2005;Sideways;131732;12000000
1208;2004;Seed of Chucky;94206;12000000
1336;2004;Catch That Kid;470;12000000
1806;2002;Frida;102767;12000000
1961;2002;Welcome to Collinwood;32938;12000000
2003;2002;Barbershop;2280;12000000
2007;2002;The Crocodile Hunter: Collision Course;1299;12000000
2496;2000;Dr. T & the Women;180321;12000000
2638;2000;Black and White;5421;12000000
9924;2007;Lars and the Real Girl;6158;12000000
10118;2008;Married Life;11362;12000000
10164;2008;Harold & Kumar Escape from Guantanamo Bay;1681;12000000
10265;2008;Two Lovers;239193;12000000
10804;2009;Nanjing ! Nanjing! (City of Life and Death);6478;12000000
11144;2010;The Crazies (2010);93876;12000000
11596;2000;The Exorcist (The Director's Cut);621727;12000000
12369;2011;Young Adult;84715;12000000
12569;2012;Chronicle;458842;12000000
12575;2012;Project X (2012);645681;12000000
12582;2011;Mientras duermes (Sleep Tight);70464;12000000
12822;2012;W.E.;13996;12000000
13040;2010;Centurion;3104;12000000
13382;2013;Stoker;56736;12000000
13709;2013;Philomena;156064;12000000
14048;2015;Project Almanac;135499;12000000
14242;2014;The Fault in our Stars;389520;12000000
15146;2011;Brighton Rock;2472;12000000
15315;2015;Paper Towns;210483;12000000
15945;2016;Hell or High Water;87138;12000000
16456;2016;Lion;454909;12000000
17230;2017;Wish Upon;167240;12000000
18843;2019;If Beale Street Could Talk;53197;12000000
21920;2022;Firestarter (2022);75109;12000000
22575;2022;M3gan;218120;12000000
22826;2023;Evil Dead Rise;235926;12000000
9749;2007;Tous à l'Ouest : une aventure de Lucky Luke;152539;12960000
10113;2008;Chasseurs de dragons;215015;12960000
10255;2008;Le Crime est notre affaire;314658;12960000
10824;2009;Home (2009);112426;12960000
10887;2009;Coco Chanel & Igor Stravinsky;73922;12960000
22439;2022;Tempête (2022);227057;12960000
391;2006;Le Héros de la famille;226552;12969570,96
12528;2012;Les Infidèles;1082028;12975853,32
13914;2014;Yves Saint Laurent;554846;12976263,72
19707;2019;La Fameuse invasion des ours en Sicile;57404;12994021,08
